time,lat,lng,accuracy
2024-11-17T09:40:31.459,37.5808855,127.0248846,35.675
2024-11-17T09:40:36.408,37.5807526,127.0249919,24.1
2024-11-17T09:40:44.525,37.5807108,127.0248827,21.01
2024-11-17T09:40:57.529,37.5808279,127.0245182,21.471
2024-11-17T09:41:10.585,37.5807634,127.0245062,19.694
2024-11-17T09:41:23.630,37.5806964,127.0241456,19.952
2024-11-17T09:41:36.666,37.5807763,127.0239944,28.492
2024-11-17T09:41:49.782,37.5806656,127.0239537,26.81
2024-11-17T09:42:02.808,37.5806945,127.0237434,32.359
2024-11-17T09:42:15.846,37.5806974,127.0230606,60.682
2024-11-17T09:42:28.922,37.5807959,127.023454,28.045
2024-11-17T09:42:41.972,37.5809624,127.0233332,24.648
2024-11-17T09:42:54.992,37.5809329,127.0229852,31.023
2024-11-17T09:43:08.066,37.5810235,127.02294,29.082
2024-11-17T09:43:21.120,37.581181,127.0231373,34.747
2024-11-17T09:43:34.201,37.5812735,127.0227881,29.236
2024-11-17T09:43:47.215,37.5813109,127.0228064,49.864
2024-11-17T09:44:00.331,37.5812159,127.0231192,44.006
2024-11-17T09:44:13.367,37.5812445,127.0229064,40.537
2024-11-17T09:44:26.434,37.5811428,127.0230634,51.563
2024-11-17T09:44:39.465,37.5812862,127.0230276,33.466
2024-11-17T09:44:52.550,37.5811252,127.0228844,30.346
2024-11-17T09:45:05.585,37.58128,127.0228539,44.191
2024-11-17T09:45:18.642,37.5810626,127.0228506,36.504
2024-11-17T09:45:31.666,37.5812425,127.0228808,40.583
2024-11-17T09:45:44.726,37.5810648,127.0228309,46.014
2024-11-17T09:45:57.781,37.5809723,127.0229131,29.092
2024-11-17T09:46:10.840,37.5814025,127.0226468,47.537
2024-11-17T09:46:23.851,37.5811261,127.0227721,43.95
2024-11-17T09:46:36.940,37.581068,127.0227827,47.944
2024-11-17T09:46:50.017,37.5810433,127.022805,61.127
2024-11-17T09:47:03.044,37.5814422,127.0228216,43.508
2024-11-17T09:47:16.150,37.5811552,127.0228553,41.283
2024-11-17T09:47:29.186,37.5812041,127.0228648,44.429
2024-11-17T09:47:36.395,37.5811676,127.0230306,56.486
2024-11-17T09:47:42.185,37.5809202,127.0229489,40.115
2024-11-17T09:47:55.257,37.5811579,127.0227475,42.716
2024-11-17T09:48:08.359,37.5810863,127.0228887,36.89
2024-11-17T09:48:21.383,37.5812184,127.0228899,43.558
2024-11-17T09:48:34.433,37.5811537,127.0229883,39.262
2024-11-17T09:48:47.482,37.5813379,127.022828,51.643
2024-11-17T09:49:00.514,37.5813156,127.0226921,45.151
2024-11-17T09:49:13.548,37.5814968,127.0225961,37.752
2024-11-17T09:49:26.630,37.5818556,127.022415,36.567
2024-11-17T09:49:39.618,37.5818783,127.0224977,35.861
2024-11-17T09:49:52.694,37.5819073,127.022345,42.69
2024-11-17T09:50:05.746,37.5820276,127.0223965,33.307
2024-11-17T09:50:18.799,37.5820454,127.0223397,29.22
2024-11-17T09:50:31.855,37.582307,127.0222679,52.603
2024-11-17T09:50:44.926,37.5825277,127.0221672,43.914
2024-11-17T09:50:57.972,37.5824731,127.0221711,34.265
2024-11-17T09:51:11.034,37.5828527,127.0218884,44.222
2024-11-17T09:51:24.081,37.5826571,127.0219235,21.72
2024-11-17T09:51:37.153,37.5828276,127.0217728,49.305
2024-11-17T09:51:50.200,37.5836363,127.0215964,28.123
2024-11-17T09:52:03.238,37.5835879,127.0216829,23.055
2024-11-17T09:52:16.300,37.5836312,127.0214565,28.755
2024-11-17T09:52:29.368,37.58366,127.0212387,50.134
2024-11-17T09:52:42.422,37.5840583,127.0212418,39.957
2024-11-17T09:52:55.452,37.583692,127.0217041,28.683
2024-11-17T09:53:08.510,37.5840023,127.0215334,30.088
2024-11-17T09:53:21.596,37.5840984,127.0216178,35.578
2024-11-17T09:53:34.636,37.5842105,127.0214872,31.781
