time,SSID,BSSID,RSSI
2024-11-16T23:25:13.218,나무,b4:0f:3b:9b:00:45,-87
2024-11-16T23:25:13.218,iptime5G_403,58:86:94:eb:28:60,-84
2024-11-16T23:25:13.218,1층,70:5d:cc:e7:03:00,-82
2024-11-16T23:25:13.218,1층2.4_5G,88:36:6c:ce:b8:96,-92
2024-11-16T23:25:13.218,U+NetD77C_5G,18:c5:01:b7:d7:7f,-93
2024-11-16T23:25:13.218,iptime_gemini_5G,70:5d:cc:1c:10:58,-83
2024-11-16T23:25:13.218,2층,70:5d:cc:e7:0c:70,-77
2024-11-16T23:25:13.218,three_5G,58:86:94:a4:f7:f0,-92
2024-11-16T23:25:13.218,Public WiFi Free,00:0a:de:1b:e0:61,-83
2024-11-16T23:25:13.218,Public WiFi Free,00:0a:de:1b:c3:71,-80
2024-11-16T23:25:13.218,Public WiFi Secure,00:0a:de:1b:c3:72,-80
2024-11-16T23:25:13.218,SEOUL,00:0a:de:1b:c3:73,-80
2024-11-16T23:25:13.218,SEOUL_Secure,00:0a:de:1b:c3:74,-80
2024-11-16T23:25:13.218,SEOUL,00:0a:de:1b:c3:83,-81
2024-11-16T23:25:13.218,SEOUL_Secure,0a:ae:d0:09:ec:6e,-78
2024-11-16T23:25:13.218,SEOUL_Secure,00:0a:de:1b:c3:84,-82
2024-11-16T23:25:13.218,SEOUL_Secure_(3),16:ae:d0:09:ec:6e,-79
2024-11-16T23:25:13.218,SEOUL,06:ae:d0:09:ec:6e,-79
2024-11-16T23:25:13.218,U+NetD040_5G,80:ca:4b:8e:d0:43,-93
2024-11-16T23:25:13.218,KT_GiGA_5G_5363,1c:ec:72:44:53:67,-80
2024-11-16T23:25:13.218,Public WiFi Free,00:0a:de:1b:e0:41,-83
2024-11-16T23:25:13.218,Public WiFi Secure,00:0a:de:1b:e0:42,-83
2024-11-16T23:25:13.218,SEOUL,00:0a:de:1b:e0:43,-83
2024-11-16T23:25:13.218,SEOUL_Secure,00:0a:de:1b:e0:44,-83
2024-11-16T23:25:13.218,Public WiFi Free,00:0a:de:1b:c3:61,-86
2024-11-16T23:25:13.218,Public WiFi Secure,00:0a:de:1b:c3:62,-86
2024-11-16T23:25:13.218,SEOUL,00:0a:de:1b:c3:63,-86
2024-11-16T23:25:13.218,SEOUL_Secure,00:0a:de:1b:c3:64,-86
2024-11-16T23:25:13.218,[LG_CeilingCassette A/C]a5b4,16:7f:67:cf:a5:b4,-80
2024-11-16T23:25:13.218,Public WiFi Free,00:0a:de:1b:71:71,-89
2024-11-16T23:25:13.218,Public WiFi Secure,00:0a:de:1b:71:72,-89
2024-11-16T23:25:13.218,SEOUL,00:0a:de:1b:71:73,-89
2024-11-16T23:25:13.218,SEOUL_Secure,00:0a:de:1b:71:74,-89
2024-11-16T23:25:13.218,402ȣ,90:9f:33:a7:6e:fa,-79
2024-11-16T23:25:13.218,Public WiFi Free,00:0a:de:1b:e5:61,-89
2024-11-16T23:25:13.218,Public WiFi Secure,00:0a:de:1b:e5:62,-88
2024-11-16T23:25:13.218,SEOUL,00:0a:de:1b:e5:63,-88
2024-11-16T23:25:13.218,SEOUL_Secure,00:0a:de:1b:e5:64,-88
2024-11-16T23:25:16.461,나무,b4:0f:3b:9b:00:45,-83
2024-11-16T23:25:16.461,iptime5G_403,58:86:94:eb:28:60,-83
2024-11-16T23:25:16.461,1층,70:5d:cc:e7:03:00,-86
2024-11-16T23:25:16.461,1층2.4_5G,88:36:6c:ce:b8:96,-92
2024-11-16T23:25:16.461,U+NetD77C_5G,18:c5:01:b7:d7:7f,-93
2024-11-16T23:25:16.461,iptime_gemini_5G,70:5d:cc:1c:10:58,-83
2024-11-16T23:25:16.461,Public WiFi Free,00:0a:de:1b:c3:71,-81
2024-11-16T23:25:16.461,Public WiFi Secure,00:0a:de:1b:c3:72,-81
2024-11-16T23:25:16.461,SEOUL,00:0a:de:1b:c3:73,-81
2024-11-16T23:25:16.461,SEOUL_Secure,00:0a:de:1b:c3:74,-81
2024-11-16T23:25:16.461,SEOUL_Secure,0a:ae:d0:09:ec:6e,-76
2024-11-16T23:25:16.461,KT_GiGA_5G_5363,1c:ec:72:44:53:67,-82
2024-11-16T23:25:16.461,Public WiFi Free,00:0a:de:1b:e0:41,-86
2024-11-16T23:25:16.461,Public WiFi Secure,00:0a:de:1b:e0:42,-86
2024-11-16T23:25:16.461,SEOUL,00:0a:de:1b:e0:43,-86
2024-11-16T23:25:16.461,SEOUL_Secure,00:0a:de:1b:e0:44,-86
2024-11-16T23:25:16.461,Public WiFi Free,00:0a:de:1b:c3:61,-85
2024-11-16T23:25:16.461,Public WiFi Secure,00:0a:de:1b:c3:62,-85
2024-11-16T23:25:16.461,SEOUL,00:0a:de:1b:c3:63,-85
2024-11-16T23:25:16.461,SEOUL_Secure,00:0a:de:1b:c3:64,-84
2024-11-16T23:25:16.461,[LG_CeilingCassette A/C]a5b4,16:7f:67:cf:a5:b4,-81
2024-11-16T23:25:16.461,Public WiFi Free,00:0a:de:1b:71:71,-88
2024-11-16T23:25:16.461,Public WiFi Secure,00:0a:de:1b:71:72,-88
2024-11-16T23:25:16.461,SEOUL,00:0a:de:1b:71:73,-88
2024-11-16T23:25:16.461,SEOUL_Secure,00:0a:de:1b:71:74,-88
2024-11-16T23:25:16.461,402ȣ,90:9f:33:a7:6e:fa,-83
2024-11-16T23:25:16.461,Public WiFi Free,00:0a:de:1b:e5:61,-90
2024-11-16T23:25:16.461,Public WiFi Secure,00:0a:de:1b:e5:62,-91
2024-11-16T23:25:16.461,SEOUL,00:0a:de:1b:e5:63,-90
2024-11-16T23:25:16.461,SEOUL_Secure,00:0a:de:1b:e5:64,-90
2024-11-16T23:25:16.461,hogul2,58:86:94:e1:eb:4a,-82
2024-11-16T23:25:16.461,SO070VOIP17C1,bc:e0:01:c5:17:c3,-84
2024-11-16T23:25:16.461,SJ2302,58:86:94:7f:1c:2c,-83
2024-11-16T23:25:16.461,ngtime5G,58:86:94:db:33:ec,-85
2024-11-16T23:25:16.461,SK_WiFiGIGA0C4C,04:09:a5:0c:0c:4f,-93
2024-11-16T23:25:16.461,옥상,70:5d:cc:e7:08:60,-83
2024-11-16T23:25:16.461,SK_WiFiGIGA70AE_2.4G,c6:a9:4f:bf:70:b1,-84
2024-11-16T23:25:16.461,SK_1970_5G,28:4e:e9:0b:19:72,-92
2024-11-16T23:25:16.461,TP-LINK_C312,94:d9:b3:1b:c3:14,-87
2024-11-16T23:25:16.461,KT_IPTV_WiFi_5G_CDEB,00:1d:ec:30:cd:eb,-93
2024-11-16T23:25:16.461,TP-Link_24CF_5G,f0:a7:31:bd:24:ce,-88
2024-11-16T23:25:16.461,KU202,70:5d:cc:df:99:9c,-85
2024-11-16T23:25:16.461,durmak yok,d8:44:89:29:63:76,-80
2024-11-16T23:25:16.461,AT_401_CST_570004_WW_2b75,fa:b9:5a:0d:2b:75,-83
2024-11-16T23:25:16.461,Public WiFi Secure,00:0a:de:1b:71:92,-84
2024-11-16T23:25:16.461,SEOUL,00:0a:de:1b:71:93,-86
2024-11-16T23:25:16.461,WAGL_2G,bc:e0:01:85:2a:a8,-83
2024-11-16T23:25:16.461,SK_WiFiGIGA17C5,70:5d:cc:91:a8:c1,-83
2024-11-16T23:25:16.461,2278-3118,d0:be:2c:27:87:3e,-82
2024-11-16T23:25:26.885,나무,b4:0f:3b:9b:00:45,-86
2024-11-16T23:25:26.885,SK_WiFiGIGA7EB0_5G,42:23:aa:e4:7e:b3,-76
2024-11-16T23:25:26.885,SK_WiFiGIGA7EB0,00:23:aa:e4:7e:b3,-77
2024-11-16T23:25:26.885,iptime5G_403,58:86:94:eb:28:60,-82
2024-11-16T23:25:26.885,1층,70:5d:cc:e7:03:00,-87
2024-11-16T23:25:26.885,U+NetD77C_5G,18:c5:01:b7:d7:7f,-92
2024-11-16T23:25:26.885,iptime_gemini_5G,70:5d:cc:1c:10:58,-84
2024-11-16T23:25:26.885,three_5G,58:86:94:a4:f7:f0,-90
2024-11-16T23:25:26.885,Public WiFi Free,00:0a:de:1b:c3:71,-81
2024-11-16T23:25:26.885,Public WiFi Secure,00:0a:de:1b:c3:72,-82
2024-11-16T23:25:26.885,SEOUL,00:0a:de:1b:c3:73,-82
2024-11-16T23:25:26.885,SEOUL_Secure,00:0a:de:1b:c3:74,-82
2024-11-16T23:25:26.885,SEOUL_Secure,00:0a:de:1b:c3:84,-88
2024-11-16T23:25:26.885,KT_GiGA_5G_5363,1c:ec:72:44:53:67,-81
2024-11-16T23:25:26.885,Public WiFi Free,00:0a:de:1b:e0:41,-86
2024-11-16T23:25:26.885,Public WiFi Secure,00:0a:de:1b:e0:42,-86
2024-11-16T23:25:26.885,SEOUL,00:0a:de:1b:e0:43,-87
2024-11-16T23:25:26.885,SEOUL_Secure,00:0a:de:1b:e0:44,-87
2024-11-16T23:25:26.885,Public WiFi Free,00:0a:de:1b:c3:61,-85
2024-11-16T23:25:26.885,Public WiFi Secure,00:0a:de:1b:c3:62,-85
2024-11-16T23:25:26.885,SEOUL,00:0a:de:1b:c3:63,-85
2024-11-16T23:25:26.885,SEOUL_Secure,00:0a:de:1b:c3:64,-85
2024-11-16T23:25:26.885,Public WiFi Free,00:0a:de:1b:71:71,-86
2024-11-16T23:25:26.885,Public WiFi Secure,00:0a:de:1b:71:72,-85
2024-11-16T23:25:26.885,SEOUL,00:0a:de:1b:71:73,-86
2024-11-16T23:25:26.885,SEOUL_Secure,00:0a:de:1b:71:74,-86
2024-11-16T23:25:26.885,402ȣ,90:9f:33:a7:6e:fa,-81
2024-11-16T23:25:26.885,Public WiFi Free,00:0a:de:1b:e5:61,-90
2024-11-16T23:25:26.885,Public WiFi Secure,00:0a:de:1b:e5:62,-90
2024-11-16T23:25:26.885,SEOUL,00:0a:de:1b:e5:63,-89
2024-11-16T23:25:26.885,SEOUL_Secure,00:0a:de:1b:e5:64,-90
2024-11-16T23:25:26.885,hogul2,58:86:94:e1:eb:4a,-88
2024-11-16T23:25:26.885,ngtime5G,58:86:94:db:33:ec,-83
2024-11-16T23:25:26.885,SK_WiFiGIGA70AE_2.4G,c6:a9:4f:bf:70:b1,-82
2024-11-16T23:25:26.885,1층2.4,70:5d:cc:e7:03:02,-79
2024-11-16T23:25:26.885,SK_1970_5G,28:4e:e9:0b:19:72,-90
2024-11-16T23:25:26.885,KT_IPTV_WiFi_5G_CDEB,00:1d:ec:30:cd:eb,-93
2024-11-16T23:25:26.885,durmak yok,d8:44:89:29:63:76,-80
2024-11-16T23:25:26.885,AT_401_CST_570004_WW_2b75,fa:b9:5a:0d:2b:75,-84
2024-11-16T23:25:26.885,SEOUL,00:0a:de:1b:71:93,-86
2024-11-16T23:25:26.885,SK_WiFiGIGA17C5,70:5d:cc:91:a8:c1,-83
2024-11-16T23:25:26.885,2278-3118,d0:be:2c:27:87:3e,-86
2024-11-16T23:25:26.885,SK_WiFiGIGA70AE_5G,c6:a9:4f:bf:70:b0,-93
2024-11-16T23:25:26.885,Public WiFi Free,00:0a:de:1b:c3:81,-87
2024-11-16T23:25:26.885,Public WiFi Secure,00:0a:de:1b:c3:82,-85
2024-11-16T23:25:26.885,rain,70:5d:cc:c0:61:94,-92
2024-11-16T23:25:26.885,iptime_eom,58:86:94:6c:db:82,-86
2024-11-16T23:25:26.885,STR_WLAN_LOCAL,c8:03:f5:34:98:1c,-95
2024-11-16T23:25:26.885,STR_WLAN,c8:03:f5:74:98:1c,-93
2024-11-16T23:25:26.885,OFC_WLAN,c8:03:f5:b4:98:1c,-93
2024-11-16T23:25:26.885,SK_WiFiGIGA7CBB_2.4G,c6:a9:4f:77:7c:be,-81
2024-11-16T23:25:26.885,SK_WiFiGIGAF358_2.4G,04:09:a5:23:f3:5b,-79
2024-11-16T23:25:26.885,[LG_CeilingCassette A/C]9dc3,16:7f:67:bd:9d:c3,-86
2024-11-16T23:25:26.885,SK_WiFiGIGA8998_2.4G,04:09:a5:15:89:9b,-83
2024-11-16T23:25:31.222,나무,b4:0f:3b:9b:00:45,-83
2024-11-16T23:25:31.222,SK_WiFiGIGA7EB0_5G,42:23:aa:e4:7e:b3,-79
2024-11-16T23:25:31.222,SK_WiFiGIGA7EB0,00:23:aa:e4:7e:b3,-79
2024-11-16T23:25:31.222,iptime5G_403,58:86:94:eb:28:60,-84
2024-11-16T23:25:31.222,1층,70:5d:cc:e7:03:00,-85
2024-11-16T23:25:31.222,U+NetD77C_5G,18:c5:01:b7:d7:7f,-91
2024-11-16T23:25:31.222,iptime_gemini_5G,70:5d:cc:1c:10:58,-84
2024-11-16T23:25:31.222,three_5G,58:86:94:a4:f7:f0,-92
2024-11-16T23:25:31.222,Public WiFi Free,00:0a:de:1b:c3:71,-80
2024-11-16T23:25:31.222,Public WiFi Secure,00:0a:de:1b:c3:72,-80
2024-11-16T23:25:31.222,SEOUL,00:0a:de:1b:c3:73,-80
2024-11-16T23:25:31.222,SEOUL_Secure,00:0a:de:1b:c3:74,-80
2024-11-16T23:25:31.222,SEOUL_Secure,0a:ae:d0:09:ec:6e,-78
2024-11-16T23:25:31.222,SEOUL_Secure_(3),16:ae:d0:09:ec:6e,-78
2024-11-16T23:25:31.222,SEOUL,06:ae:d0:09:ec:6e,-78
2024-11-16T23:25:31.222,KT_GiGA_5G_5363,1c:ec:72:44:53:67,-82
2024-11-16T23:25:31.222,lyx,70:5d:cc:39:70:5e,-81
2024-11-16T23:25:31.222,Public WiFi Free,00:0a:de:1b:e0:41,-88
2024-11-16T23:25:31.222,Public WiFi Secure,00:0a:de:1b:e0:42,-88
2024-11-16T23:25:31.222,SEOUL,00:0a:de:1b:e0:43,-87
2024-11-16T23:25:31.222,SEOUL_Secure,00:0a:de:1b:e0:44,-87
2024-11-16T23:25:31.222,Public WiFi Free,00:0a:de:1b:c3:61,-81
2024-11-16T23:25:31.222,Public WiFi Secure,00:0a:de:1b:c3:62,-80
2024-11-16T23:25:31.222,SEOUL,00:0a:de:1b:c3:63,-80
2024-11-16T23:25:31.222,SEOUL_Secure,00:0a:de:1b:c3:64,-80
2024-11-16T23:25:31.222,Public WiFi Free,00:0a:de:1b:71:71,-86
2024-11-16T23:25:31.222,Public WiFi Secure,00:0a:de:1b:71:72,-86
2024-11-16T23:25:31.222,SEOUL,00:0a:de:1b:71:73,-86
2024-11-16T23:25:31.222,SEOUL_Secure,00:0a:de:1b:71:74,-86
2024-11-16T23:25:31.222,402ȣ,90:9f:33:a7:6e:fa,-85
2024-11-16T23:25:31.222,Public WiFi Free,00:0a:de:1b:e5:61,-91
2024-11-16T23:25:31.222,Public WiFi Secure,00:0a:de:1b:e5:62,-91
2024-11-16T23:25:31.222,SEOUL,00:0a:de:1b:e5:63,-92
2024-11-16T23:25:31.222,SEOUL_Secure,00:0a:de:1b:e5:64,-91
2024-11-16T23:25:31.222,SK_WiFiGIGA70AE_2.4G,c6:a9:4f:bf:70:b1,-84
2024-11-16T23:25:31.222,KT_IPTV_WiFi_5G_CDEB,00:1d:ec:30:cd:eb,-93
2024-11-16T23:25:31.222,AT_401_CST_570004_WW_2b75,fa:b9:5a:0d:2b:75,-83
2024-11-16T23:25:31.222,kirby,58:86:94:cb:0d:ec,-79
2024-11-16T23:25:31.222,rain,70:5d:cc:c0:61:94,-91
2024-11-16T23:25:31.222,SK_WiFiGIGA8998_2.4G,04:09:a5:15:89:9b,-79
2024-11-16T23:25:31.222,WAGL_5G,bc:e0:01:85:2a:a6,-87
2024-11-16T23:25:31.222,rain-5G,60:29:d5:07:47:82,-87
2024-11-16T23:25:31.222,joyous2634_5G,70:5d:cc:0b:83:62,-78
2024-11-16T23:25:31.222,SK_WiFiGIGA0C4C,04:09:a5:0c:0c:4f,-92
2024-11-16T23:25:31.222,1층2.4_5G,88:36:6c:ce:b8:96,-92
2024-11-16T23:25:31.222,oksystem1,58:86:94:a4:d8:ce,-80
2024-11-16T23:25:31.222,SK_WiFiGIGA17C5_5G,70:5d:cc:91:a8:c0,-94
2024-11-16T23:25:31.222,옥상,70:5d:cc:e7:08:60,-88
2024-11-16T23:25:31.222,SEOUL,00:0a:de:1b:c3:83,-80
2024-11-16T23:25:31.222,TP-LINK_C312,94:d9:b3:1b:c3:14,-85
2024-11-16T23:25:31.222,KT_GiGA_5G_Wave2_CDC1,88:3c:1c:d5:cd:c4,-91
2024-11-16T23:25:31.222,Office.Net,c8:03:f5:f4:98:1c,-95
2024-11-16T23:25:31.222,KU202,70:5d:cc:df:99:9c,-84
2024-11-16T23:25:31.222,[LG_CeilingCassette A/C]725d,1e:39:29:eb:72:5d,-83
2024-11-16T23:25:31.222,khs,b0:39:56:16:4c:10,-85
2024-11-16T23:25:39.841,나무,b4:0f:3b:9b:00:45,-83
2024-11-16T23:25:39.841,iptime5G_403,58:86:94:eb:28:60,-82
2024-11-16T23:25:39.841,1층,70:5d:cc:e7:03:00,-79
2024-11-16T23:25:39.841,U+NetD77C_5G,18:c5:01:b7:d7:7f,-88
2024-11-16T23:25:39.841,iptime_gemini_5G,70:5d:cc:1c:10:58,-83
