time,SSID,BSSID,RSSI
2024-11-17T09:08:44.094,KT_GiGA_5G_68F5,0c:96:cd:29:68:f8,-76
2024-11-17T09:08:44.094,iptime5G123,b0:38:6c:09:9a:4c,-76
2024-11-17T09:08:44.094,KT_GiGA_5G_1DDF,1c:ec:72:67:1d:e3,-81
2024-11-17T09:08:44.094,comlend6,10:7c:61:d7:6f:bc,-83
2024-11-17T09:08:44.094,iptime5G,88:36:6c:e7:19:b6,-79
2024-11-17T09:08:44.094,KT_GiGA_5G_78B3,0c:96:cd:ee:78:b6,-86
2024-11-17T09:08:44.094,KT_GiGA_Mesh_78B3,12:96:cd:ee:78:b6,-86
2024-11-17T09:08:44.094,order5G,90:9f:33:18:3e:c4,-83
2024-11-17T09:08:44.094,희망동 303호_2,70:5d:cc:e8:1e:e0,-92
2024-11-17T09:08:44.094,U+Net2A30_5G,80:ca:4b:45:2a:33,-88
2024-11-17T09:08:44.094,KT_IPTV_WiFi_5G_9B4E,00:1d:ec:4d:9b:4e,-92
2024-11-17T09:08:44.094,Sebasa 5G,88:3c:1c:ac:2d:65,-93
2024-11-17T09:08:44.094,SK_WiFiGIGADC7A_5G,50:46:ae:9c:dc:7c,-80
2024-11-17T09:08:44.094,island-3C9550,74:3e:2b:7c:95:57,-79
2024-11-17T09:08:44.094,island-256030,34:fa:9f:65:60:37,-85
2024-11-17T09:08:44.094,eduroam,00:2c:c8:c1:0a:6f,-88
2024-11-17T09:08:44.094,KUInfo AP,00:2c:c8:c1:0a:6e,-88
2024-11-17T09:08:44.094,KoreaUniv AP,00:2c:c8:c1:0a:6d,-88
2024-11-17T09:08:44.094,eduroam,00:2c:c8:cd:3e:6f,-84
2024-11-17T09:08:44.094,KUInfo AP,00:2c:c8:cd:3e:6e,-84
2024-11-17T09:08:44.094,KoreaUniv AP,00:2c:c8:cd:3e:6d,-84
2024-11-17T09:08:44.094,KT_GiGA_5G_AC4C,50:46:ae:13:ac:4f,-76
2024-11-17T09:08:44.094,KAGONGZOK_5G,50:46:ae:c2:cd:30,-92
2024-11-17T09:08:44.094,KT_GiGA_5G_9347,50:46:ae:36:93:4a,-90
2024-11-17T09:08:44.094,DLive5G_64CC,bc:62:ce:28:64:cb,-86
2024-11-17T09:08:44.094,DLive5G_4EBB,dc:8e:8d:38:4e:ba,-88
2024-11-17T09:08:44.094,DLive5G_9CB3,bc:62:ce:1e:9c:b2,-83
2024-11-17T09:08:44.094,대성공 + 대혁신,84:d8:1b:e7:82:83,-80
2024-11-17T09:08:44.094,KT_GiGA_5G_37BA,60:29:d5:6e:37:bd,-87
2024-11-17T09:08:44.094,bokumbab5G,58:86:94:db:b8:b8,-84
