time,lat,lng,accuracy
2024-11-16T23:25:13.218,37.5847679,127.0299025,19.763
2024-11-16T23:25:16.461,37.5847451,127.029972,27.382
2024-11-16T23:25:26.885,37.5847936,127.0299837,38.667
2024-11-16T23:25:31.222,37.5847162,127.0300045,23.578
2024-11-16T23:25:39.841,37.5847044,127.0299464,38.473
2024-11-16T23:25:52.986,37.5848043,127.0300538,23.515
2024-11-16T23:26:06.007,37.5847894,127.0299165,22.858
2024-11-16T23:26:19.056,37.5848078,127.0300077,13.985
2024-11-16T23:26:32.135,37.58481,127.0299602,23.691
2024-11-16T23:26:45.191,37.5848095,127.0299606,19.26
2024-11-16T23:26:58.273,37.584812,127.0299633,19.359
2024-11-16T23:27:11.298,37.5847481,127.0299659,19.385
2024-11-16T23:27:16.159,37.5847293,127.0300561,25.22
2024-11-16T23:27:24.323,37.5847084,127.0299572,22.408
2024-11-16T23:27:37.341,37.5848309,127.0298118,30.46
2024-11-16T23:27:50.419,37.5848089,127.029965,16.99
2024-11-16T23:28:03.488,37.5847483,127.0300206,20.058
2024-11-16T23:28:16.584,37.5847755,127.0300674,22.793
2024-11-16T23:28:29.648,37.5847603,127.0299797,20.721
2024-11-16T23:28:42.682,37.5846992,127.0300217,25.464
2024-11-16T23:28:55.773,37.5847428,127.0299499,25.008
2024-11-16T23:29:08.780,37.5846578,127.0300065,20.751
2024-11-16T23:29:21.895,37.5846948,127.0300423,17.453
2024-11-16T23:29:34.896,37.5846984,127.0300852,25.607
2024-11-16T23:29:47.990,37.5847366,127.0300032,24.982
2024-11-16T23:30:01.090,37.5846739,127.0299848,21.234
2024-11-16T23:30:14.122,37.5846706,127.0300337,19.45
2024-11-16T23:30:27.179,37.584769,127.0301013,19.923
2024-11-16T23:37:44.944,37.5847249,127.0299756,20.503
2024-11-16T23:38:00.007,37.5847023,127.0300077,29.242
2024-11-16T23:38:13.101,37.584756,127.0300605,27.296
2024-11-16T23:38:26.122,37.5847194,127.0300808,21.228
2024-11-16T23:38:37.575,37.5847606,127.0298565,31.304
2024-11-16T23:38:52.320,37.5848067,127.0300747,35.541
2024-11-16T23:39:05.349,37.584791,127.0298689,27.362
2024-11-16T23:39:18.432,37.584766,127.0299214,32.151
2024-11-16T23:39:31.454,37.5847297,127.0299804,34.732
2024-11-16T23:39:44.546,37.5847278,127.0299619,32.78
2024-11-16T23:39:47.545,37.5846354,127.0299949,39.507
2024-11-16T23:39:57.571,37.5847419,127.0300173,25.223
